--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
cropped_images/crop_meme_0_pt_0.jpg	Sonnet                   	0.9999
cropped_images/crop_meme_0_pt_1.jpg	for                      	1.0000
cropped_images/crop_meme_0_pt_2.jpg	Lena                     	0.9996
cropped_images/crop_meme_0_pt_3.jpg	0                        	0.4729
cropped_images/crop_meme_0_pt_4.jpg	dear                     	0.9893
cropped_images/crop_meme_0_pt_5.jpg	Lenu,                    	0.4478
cropped_images/crop_meme_0_pt_6.jpg	your                     	0.9991
cropped_images/crop_meme_0_pt_7.jpg	beauly                   	0.8301
cropped_images/crop_meme_0_pt_8.jpg	is                       	0.9757
cropped_images/crop_meme_0_pt_9.jpg	so                       	0.6472
cropped_images/crop_meme_0_pt_10.jpg	vast                     	0.4334
cropped_images/crop_meme_0_pt_11.jpg	It                       	0.7362
cropped_images/crop_meme_0_pt_12.jpg	is                       	0.9962
cropped_images/crop_meme_0_pt_13.jpg	hard                     	0.9987
cropped_images/crop_meme_0_pt_14.jpg	somet                    	0.6251
cropped_images/crop_meme_0_pt_15.jpg	lines                    	0.4757
cropped_images/crop_meme_0_pt_16.jpg	to                       	0.9994
cropped_images/crop_meme_0_pt_17.jpg	describe                 	0.9932
cropped_images/crop_meme_0_pt_18.jpg	it                       	0.9645
cropped_images/crop_meme_0_pt_19.jpg	fast,                    	0.4962
cropped_images/crop_meme_0_pt_20.jpg	I                        	0.9926
cropped_images/crop_meme_0_pt_21.jpg	thought                  	0.9998
cropped_images/crop_meme_0_pt_22.jpg	the                      	0.9998
cropped_images/crop_meme_0_pt_23.jpg	entire                   	0.9961
cropped_images/crop_meme_0_pt_24.jpg	world                    	0.9996
cropped_images/crop_meme_0_pt_25.jpg	I                        	0.9963
cropped_images/crop_meme_0_pt_26.jpg	would                    	0.9999
cropped_images/crop_meme_0_pt_27.jpg	impress                  	0.9817
cropped_images/crop_meme_0_pt_28.jpg	the                      	0.3087
cropped_images/crop_meme_0_pt_29.jpg	only                     	0.9996
cropped_images/crop_meme_0_pt_30.jpg	your                     	0.9998
cropped_images/crop_meme_0_pt_31.jpg	portrait                 	0.9956
cropped_images/crop_meme_0_pt_32.jpg	I                        	0.9777
cropped_images/crop_meme_0_pt_33.jpg	could                    	0.9921
cropped_images/crop_meme_0_pt_34.jpg	compross.                	0.2292
cropped_images/crop_meme_0_pt_35.jpg	Alas!                    	0.3195
cropped_images/crop_meme_0_pt_36.jpg	First                    	0.9974
cropped_images/crop_meme_0_pt_37.jpg	when                     	0.9998
cropped_images/crop_meme_0_pt_38.jpg	I                        	0.9925
cropped_images/crop_meme_0_pt_39.jpg	tried                    	0.9977
cropped_images/crop_meme_0_pt_40.jpg	to                       	0.9795
cropped_images/crop_meme_0_pt_41.jpg	use                      	0.7791
cropped_images/crop_meme_0_pt_42.jpg	Vq                       	0.3423
cropped_images/crop_meme_0_pt_43.jpg	I                        	0.9170
cropped_images/crop_meme_0_pt_44.jpg	found                    	0.9936
cropped_images/crop_meme_0_pt_45.jpg	that                     	0.9997
cropped_images/crop_meme_0_pt_46.jpg	your                     	0.9989
cropped_images/crop_meme_0_pt_47.jpg	checks                   	0.6898
cropped_images/crop_meme_0_pt_48.jpg	belong                   	0.9965
cropped_images/crop_meme_0_pt_49.jpg	to                       	0.9996
cropped_images/crop_meme_0_pt_50.jpg	only                     	0.9996
cropped_images/crop_meme_0_pt_51.jpg	you.                     	0.9780
cropped_images/crop_meme_0_pt_52.jpg	Your                     	0.9992
cropped_images/crop_meme_0_pt_53.jpg	silky                    	0.9987
cropped_images/crop_meme_0_pt_54.jpg	hair                     	0.9019
cropped_images/crop_meme_0_pt_55.jpg	contains                 	0.9762
cropped_images/crop_meme_0_pt_56.jpg	a                        	0.4361
cropped_images/crop_meme_0_pt_57.jpg	thousand                 	0.9930
cropped_images/crop_meme_0_pt_58.jpg	lines                    	0.9201
cropped_images/crop_meme_0_pt_59.jpg	Hard                     	0.9988
cropped_images/crop_meme_0_pt_60.jpg	to                       	0.9947
cropped_images/crop_meme_0_pt_61.jpg	match                    	0.9452
cropped_images/crop_meme_0_pt_62.jpg	with                     	0.9999
cropped_images/crop_meme_0_pt_63.jpg	sums                     	0.9715
cropped_images/crop_meme_0_pt_64.jpg	of                       	0.9998
cropped_images/crop_meme_0_pt_65.jpg	discrete                 	0.9062
cropped_images/crop_meme_0_pt_66.jpg	cosines.                 	0.9130
cropped_images/crop_meme_0_pt_67.jpg	And                      	0.9999
cropped_images/crop_meme_0_pt_68.jpg	for                      	0.9998
cropped_images/crop_meme_0_pt_69.jpg	your                     	0.9976
cropped_images/crop_meme_0_pt_70.jpg	lips,                    	0.9988
